peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
23,231.21193,0.007661004556063612,0.4559496562338309,3.0,,H28_C17_Cc(-1),-1,17,28,0,0,0
24,233.03987999999998,0.00906999517597225,0.8849772836261345,16.0,,H6_C19_Cc(-1),-1,19,6,0,0,0
184,295.05526000000003,0.007942968834599573,-0.2163628603207505,20.0,,H8_C24_Cc(-1),-1,24,8,0,0,0
333,333.25894,0.008935526511015396,0.4957076319693652,8.0,,H34_C25_Cc(-1),-1,25,34,0,0,0
361,339.30552,0.008575225754786248,-0.6042430433639818,5.0,,H40_C25_Cc(-1),-1,25,40,0,0,0
405,349.28977000000003,0.008917527872874228,-0.8730544842371654,7.0,,H38_C26_Cc(-1),-1,26,38,0,0,0
458,361.38411,0.00980866221996368,0.3724762552697216,1.0,,H50_C26_Cc(-1),-1,26,50,0,0,0
575,385.10264,0.011384016705688135,0.9502375782343516,24.0,,H14_C31_Cc(-1),-1,31,14,0,0,0
626,395.08673,0.01624108331854432,0.26832842498354587,26.0,,H12_C32_Cc(-1),-1,32,12,0,0,0
638,397.1026,0.02199252752907456,0.820792913449972,25.0,,H14_C32_Cc(-1),-1,32,14,0,0,0
652,399.11816,0.0201352432904358,0.5909653421412473,24.0,,H16_C32_Cc(-1),-1,32,16,0,0,0
664,401.13395,0.01092996162384365,0.936821727531152,23.0,,H18_C32_Cc(-1),-1,32,18,0,0,0
678,403.14922,0.009769011701339536,-0.010623857860282557,22.0,,H20_C32_Cc(-1),-1,32,20,0,0,0
705,409.10258999999996,0.015696076959992946,0.7722732822614566,26.0,,H14_C33_Cc(-1),-1,33,14,0,0,0
718,411.11825,0.022077082934369097,0.7926308306170563,25.0,,H16_C33_Cc(-1),-1,33,16,0,0,0
731,413.13395,0.013417157198247615,0.9096105512761533,24.0,,H18_C33_Cc(-1),-1,33,18,0,0,0
764,419.08671,0.012666816178432693,0.20523914964149348,28.0,,H12_C34_Cc(-1),-1,34,12,0,0,0
776,421.10258,0.023376808593132035,0.726518939841714,27.0,,H14_C34_Cc(-1),-1,34,14,0,0,0
788,423.11816,0.013254340840057272,0.5574447572261731,26.0,,H16_C34_Cc(-1),-1,34,16,0,0,0
799,425.13394000000005,0.012059935590165473,0.8604135441071638,25.0,,H18_C34_Cc(-1),-1,34,18,0,0,0
847,433.10265,0.012607919783584944,0.8680136221286289,28.0,,H14_C35_Cc(-1),-1,35,14,0,0,0
859,435.11816,0.016509927860849816,0.5420711467873119,27.0,,H16_C35_Cc(-1),-1,35,16,0,0,0
873,437.1339,0.01972910114004876,0.7452888004478775,26.0,,H18_C35_Cc(-1),-1,35,18,0,0,0
919,445.10256,0.018851587150703827,0.6424114927127408,29.0,,H14_C36_Cc(-1),-1,36,14,0,0,0
937,447.39992,0.01094655334290221,0.6583215302932904,7.0,,H52_C33_Cc(-1),-1,33,52,0,0,0
959,451.14964000000003,0.013309722095049853,0.9214614468269621,26.0,,H20_C36_Cc(-1),-1,36,20,0,0,0
1007,459.11837,0.012529714934824333,0.9711330000091701,29.0,,H16_C37_Cc(-1),-1,37,16,0,0,0
1152,481.1023,0.015024188941844312,0.053915768041478004,32.0,,H14_C39_Cc(-1),-1,39,14,0,0,0
1240,493.10202000000004,0.04556270981341661,-0.5152300936917018,33.0,,H14_C40_Cc(-1),-1,40,14,0,0,0
1256,495.11748,0.026340787897688955,-0.8970295292529008,32.0,,H16_C40_Cc(-1),-1,40,16,0,0,0
1292,499.52488,0.011693174226983362,0.10798461124903523,2.0,,H68_C36_Cc(-1),-1,36,68,0,0,0
1302,501.16481,0.012444259705515307,-0.12841484229915667,29.0,,H22_C40_Cc(-1),-1,40,22,0,0,0
1328,505.10209000000003,0.04997704143262979,-0.36440356041759825,34.0,,H14_C41_Cc(-1),-1,41,14,0,0,0
1343,507.11755,0.03816911051280558,-0.7377678015984367,33.0,,H16_C41_Cc(-1),-1,41,16,0,0,0
1358,509.13333,0.02089242038333923,-0.47965628181496467,32.0,,H18_C41_Cc(-1),-1,41,18,0,0,0
1386,513.16489,0.011840775575278802,0.030483379296187385,30.0,,H22_C41_Cc(-1),-1,41,22,0,0,0
1412,517.1021900000001,0.061337647608981694,-0.16256167845397984,35.0,,H14_C42_Cc(-1),-1,42,14,0,0,0
1427,519.11764,0.05118306023850718,-0.5473422171038914,34.0,,H16_C42_Cc(-1),-1,42,16,0,0,0
1442,521.13329,0.02943678454806493,-0.5453671939256999,33.0,,H18_C42_Cc(-1),-1,42,18,0,0,0
1496,529.1021599999999,0.06116682562226914,-0.21557462568336477,36.0,,H14_C43_Cc(-1),-1,43,14,0,0,0
1515,531.11764,0.05602854134744538,-0.5349756412069833,35.0,,H16_C43_Cc(-1),-1,43,16,0,0,0
1534,533.1332,0.032342598969383005,-0.7019052650045308,34.0,,H18_C43_Cc(-1),-1,43,18,0,0,0
1550,535.1489,0.02700114220035209,-0.6059677968894375,33.0,,H20_C43_Cc(-1),-1,43,20,0,0,0
1587,541.10224,0.0644098906316562,-0.06294743845669505,37.0,,H14_C44_Cc(-1),-1,44,14,0,0,0
1605,543.11771,0.05955474019080209,-0.39426996420055227,36.0,,H16_C44_Cc(-1),-1,44,16,0,0,0
1625,545.13321,0.03571219606644802,-0.668110093776824,35.0,,H18_C44_Cc(-1),-1,44,18,0,0,0
1660,549.16445,0.017483917226367093,-0.7727321024560473,33.0,,H22_C44_Cc(-1),-1,44,22,0,0,0
1700,555.1175900000001,0.06214546299960228,-0.6019175144545297,37.0,,H16_C45_Cc(-1),-1,45,16,0,0,0
1714,557.13332,0.0433123600035942,-0.4562803746697897,36.0,,H18_C45_Cc(-1),-1,45,18,0,0,0
1746,561.1646099999999,0.02384041648291933,-0.4710863717965386,34.0,,H22_C45_Cc(-1),-1,45,22,0,0,0
1750,561.25869,0.014973841954059902,-0.1510907563092237,27.0,,H34_C44_Cc(-1),-1,44,34,0,0,0
1789,567.11785,0.04545150925960666,-0.1307223888135269,38.0,,H16_C46_Cc(-1),-1,46,16,0,0,0
1806,569.13337,0.042497046079519527,-0.35880693483703985,37.0,,H18_C46_Cc(-1),-1,46,18,0,0,0
1877,579.11762,0.055998942100426746,-0.5251696539271787,39.0,,H16_C47_Cc(-1),-1,47,16,0,0,0
1893,581.1335,0.0345808799165842,-0.12769699215469907,38.0,,H18_C47_Cc(-1),-1,47,18,0,0,0
1957,591.1178,0.030936672498396614,-0.21000044336042734,40.0,,H16_C48_Cc(-1),-1,48,16,0,0,0
1971,593.13323,0.03161955692704368,-0.5803232437183958,39.0,,H18_C48_Cc(-1),-1,48,18,0,0,0
1986,595.14878,0.030190047298612757,-0.7465074531092806,38.0,,H20_C48_Cc(-1),-1,48,20,0,0,0
2039,603.11774,0.03268470688084915,-0.30530522952357825,41.0,,H16_C49_Cc(-1),-1,49,16,0,0,0
2056,605.1333099999999,0.0346117156124285,-0.43661288465357023,40.0,,H18_C49_Cc(-1),-1,49,18,0,0,0
2070,607.1496400000001,0.021623649313714473,0.68470270380717,39.0,,H20_C49_Cc(-1),-1,49,20,0,0,0
2085,609.16472,0.02486755588512947,-0.2533912338885652,38.0,,H22_C49_Cc(-1),-1,49,22,0,0,0
2129,615.11763,0.02768427478190483,-0.4781768327852659,42.0,,H16_C50_Cc(-1),-1,50,16,0,0,0
2147,617.13306,0.028287387761708502,-0.8332222552075041,41.0,,H18_C50_Cc(-1),-1,50,18,0,0,0
2161,619.14891,0.02434737776425371,-0.5076048667614604,40.0,,H20_C50_Cc(-1),-1,50,20,0,0,0
2174,621.16462,0.01845613068022028,-0.4094840430819776,39.0,,H22_C50_Cc(-1),-1,50,22,0,0,0
2280,637.1962599999999,0.01597808439555598,0.134173731487146,38.0,,H26_C51_Cc(-1),-1,51,26,0,0,0
2381,653.41481,0.01735965088261051,-0.7124739031237954,23.0,,H54_C50_Cc(-1),-1,50,54,0,0,0
2410,657.3532700000001,0.014852003193076224,0.9047722544463208,28.0,,H46_C51_Cc(-1),-1,51,46,0,0,0
2450,665.1331700000001,0.018673065950361292,-0.6077113850042553,45.0,,H18_C54_Cc(-1),-1,54,18,0,0,0
2531,677.22795,0.014797469973665647,0.7019010362846416,39.0,,H30_C54_Cc(-1),-1,54,30,0,0,0
2546,681.16431,0.020080054084213702,-0.8285181589009168,44.0,,H22_C55_Cc(-1),-1,55,22,0,0,0
2585,687.2112099999999,0.01553298439682933,-0.8943087527011485,41.0,,H28_C55_Cc(-1),-1,55,28,0,0,0
2659,699.4932200000001,0.01492408405969505,-0.43733233031373947,21.0,,H64_C53_Cc(-1),-1,53,64,0,0,0
2750,719.18033,0.025527681455549112,-0.270350831139139,46.0,,H24_C58_Cc(-1),-1,58,24,0,0,0
2988,773.5085799999999,0.01583953307583794,-0.7704956550296026,26.0,,H66_C59_Cc(-1),-1,59,66,0,0,0
3112,813.9166299999999,0.019198425072337273,0.6783139446575865,-1.0,,H118_C58_Cc(-1),-1,58,118,0,0,0
16,223.20665,0.007415240391837236,-0.3997147933935481,1.0,O1,H28_C15_O_Cc(-1),-1,15,28,1,0,0
17,225.03455,0.00731212530704957,-0.17066268267679433,14.0,O1,H6_C17_O_Cc(-1),-1,17,6,1,0,0
19,225.22232000000002,0.007904716603652624,-0.3076648884856271,0.0,O1,H30_C15_O_Cc(-1),-1,15,30,1,0,0
43,241.06571,0.008751187743423301,-0.7406818664173189,13.0,O1,H10_C18_O_Cc(-1),-1,18,10,1,0,0
97,265.15988,0.007835050372698583,0.3432004870642367,8.0,O1,H22_C19_O_Cc(-1),-1,19,22,1,0,0
107,269.19133999999997,0.009566987184052557,0.9318836182968625,6.0,O1,H26_C19_O_Cc(-1),-1,19,26,1,0,0
114,271.20697,0.008099995677607953,0.8509405198085109,5.0,O1,H28_C19_O_Cc(-1),-1,19,28,1,0,0
123,277.06571,0.0082265471859481,-0.6444427928492944,16.0,O1,H10_C21_O_Cc(-1),-1,21,10,1,0,0
214,303.08175,0.008038594017338564,0.6974124968371797,17.0,O1,H12_C23_O_Cc(-1),-1,23,12,1,0,0
218,303.26937000000004,0.009743044118149172,0.1005211967986826,3.0,O1,H36_C21_O_Cc(-1),-1,21,36,1,0,0
247,311.23804,0.009406501305324205,0.002033813133172296,6.0,O1,H32_C22_O_Cc(-1),-1,22,32,1,0,0
564,383.14397,0.010111376397116774,-0.44088648971747596,19.0,O1,H20_C29_O_Cc(-1),-1,29,20,1,0,0
591,387.17541,0.00933639487269401,-0.0750848303401718,17.0,O1,H24_C29_O_Cc(-1),-1,29,24,1,0,0
728,413.09758,0.015107298586731871,0.9472314023247115,25.0,O1,H14_C32_O_Cc(-1),-1,32,14,1,0,0
743,415.11323,0.014652939247846514,0.9424537010952806,24.0,O1,H16_C32_O_Cc(-1),-1,32,16,1,0,0
785,423.08187999999996,0.011775854459451536,0.8068721826831263,27.0,O1,H12_C33_O_Cc(-1),-1,33,12,1,0,0
809,427.11305999999996,0.02184499091631973,0.5179541921794147,25.0,O1,H16_C33_O_Cc(-1),-1,33,16,1,0,0
822,429.12886,0.011932438942932408,0.8648940552903852,24.0,O1,H18_C33_O_Cc(-1),-1,33,18,1,0,0
836,431.14453,0.01263939420342994,0.9070670569812402,23.0,O1,H20_C33_O_Cc(-1),-1,33,20,1,0,0
870,437.09720999999996,0.020460256703477977,0.04872829082612253,27.0,O1,H14_C34_O_Cc(-1),-1,34,14,1,0,0
884,439.11325999999997,0.018146422906829864,0.9592627650739064,26.0,O1,H16_C34_O_Cc(-1),-1,34,16,1,0,0
943,449.09755,0.017444568806932466,0.8045000468589596,28.0,O1,H14_C35_O_Cc(-1),-1,35,14,1,0,0
956,451.11305999999996,0.028644397794623265,0.49039812760370516,27.0,O1,H16_C35_O_Cc(-1),-1,35,16,1,0,0
970,453.1288,0.02284982892478943,0.6866723104012338,26.0,O1,H18_C35_O_Cc(-1),-1,35,18,1,0,0
982,455.14437000000004,0.016798887893474456,0.507700446835277,25.0,O1,H20_C35_O_Cc(-1),-1,35,20,1,0,0
995,457.15965,0.011653856017467686,-0.30404476865323843,24.0,O1,H22_C35_O_Cc(-1),-1,35,22,1,0,0
1002,459.08176,0.013603377612220134,0.48220822362455495,30.0,O1,H12_C36_O_Cc(-1),-1,36,12,1,0,0
1048,465.12892,0.018909950556267215,0.9269494573388057,27.0,O1,H18_C36_O_Cc(-1),-1,36,18,1,0,0
1100,473.09735,0.013493719922128064,0.3409425142892994,30.0,O1,H14_C37_O_Cc(-1),-1,37,14,1,0,0
1129,477.12884,0.01799498921453026,0.7359668302968966,28.0,O1,H18_C37_O_Cc(-1),-1,37,18,1,0,0
1142,479.14454000000006,0.01207444066696501,0.8370689146308528,27.0,O1,H20_C37_O_Cc(-1),-1,37,20,1,0,0
1181,485.09767,0.018617503435855002,0.9921692676868356,31.0,O1,H14_C38_O_Cc(-1),-1,38,14,1,0,0
1214,489.1288,0.01583433481192689,0.6361330594422953,29.0,O1,H18_C38_O_Cc(-1),-1,38,18,1,0,0
1245,493.16000999999994,0.014515434486035013,0.4481364981761056,27.0,O1,H22_C38_O_Cc(-1),-1,38,22,1,0,0
1354,509.09727999999996,0.01690708903390278,0.1793350771034644,33.0,O1,H14_C40_O_Cc(-1),-1,40,14,1,0,0
1433,519.17567,0.013544466112412909,0.44479934882206795,28.0,O1,H24_C40_O_Cc(-1),-1,40,24,1,0,0
1530,533.09722,0.03111819526997214,0.05871161725982961,35.0,O1,H14_C42_O_Cc(-1),-1,42,14,1,0,0
1547,535.11245,0.029413801273296725,-0.7265295362624797,34.0,O1,H16_C42_O_Cc(-1),-1,42,16,1,0,0
1560,537.12801,0.019242123720100947,-0.8914988440957794,33.0,O1,H18_C42_O_Cc(-1),-1,42,18,1,0,0
1620,545.09707,0.04422566843119423,-0.2177612145657428,36.0,O1,H14_C43_O_Cc(-1),-1,43,14,1,0,0
1641,547.11274,0.041001307677341,-0.1805386584182834,35.0,O1,H16_C43_O_Cc(-1),-1,43,16,1,0,0
1657,549.1279599999999,0.02492350465502807,-0.9630706113518644,34.0,O1,H18_C43_O_Cc(-1),-1,43,18,1,0,0
1710,557.09702,0.06677404336402112,-0.3028215803539511,37.0,O1,H14_C44_O_Cc(-1),-1,44,14,1,0,0
1724,559.11263,0.05198461138664799,-0.3734041925443328,36.0,O1,H16_C44_O_Cc(-1),-1,44,16,1,0,0
1742,561.12805,0.03039614368140416,-0.7820835191428581,35.0,O1,H18_C44_O_Cc(-1),-1,44,18,1,0,0
1784,565.53528,0.013724560386392286,-0.19587283763093405,5.0,O1,H70_C40_O_Cc(-1),-1,40,70,1,0,0
1818,571.11257,0.05748460549463487,-0.470616502292516,37.0,O1,H16_C45_O_Cc(-1),-1,45,16,1,0,0
1836,573.12792,0.03711822827215074,-0.9925340926448178,36.0,O1,H18_C45_O_Cc(-1),-1,45,18,1,0,0
1881,579.17487,0.016402635175841396,-0.9825547161129584,33.0,O1,H24_C45_O_Cc(-1),-1,45,24,1,0,0
1904,583.1125900000001,0.055446225738988615,-0.4266328738425936,38.0,O1,H16_C46_O_Cc(-1),-1,46,16,1,0,0
1917,585.12821,0.037386859187172224,-0.47656051328762694,37.0,O1,H18_C46_O_Cc(-1),-1,46,18,1,0,0
1933,587.14433,0.026040406357849207,0.32543446336954446,36.0,O1,H20_C46_O_Cc(-1),-1,46,20,1,0,0
1983,595.11269,0.04673996877645195,-0.24999466919550994,39.0,O1,H16_C47_O_Cc(-1),-1,47,16,1,0,0
1999,597.1284400000001,0.046724650189692074,-0.08180652054563586,38.0,O1,H18_C47_O_Cc(-1),-1,47,18,1,0,0
2067,607.1127700000001,0.04754906593077663,-0.11328208438970402,40.0,O1,H16_C48_O_Cc(-1),-1,48,16,1,0,0
2082,609.12824,0.05110453818559758,-0.40853302099197736,39.0,O1,H18_C48_O_Cc(-1),-1,48,18,1,0,0
2101,611.1438,0.037910893388417036,-0.5545716081197472,38.0,O1,H20_C48_O_Cc(-1),-1,48,20,1,0,0
2158,619.1125099999999,0.03739281701475977,-0.5310424113132167,41.0,O1,H16_C49_O_Cc(-1),-1,49,16,1,0,0
2167,619.48819,0.013776806283367948,-0.4044483883089275,13.0,O1,H64_C45_O_Cc(-1),-1,45,64,1,0,0
2171,621.12838,0.029647684307969657,-0.1752439649773075,40.0,O1,H18_C49_O_Cc(-1),-1,49,18,1,0,0
2252,633.12809,0.03557208893590396,-0.6299657309803979,41.0,O1,H18_C50_O_Cc(-1),-1,50,18,1,0,0
2325,645.12845,0.021435594726091314,-0.060219015330189016,42.0,O1,H18_C51_O_Cc(-1),-1,51,18,1,0,0
2401,657.1281299999999,0.0205053557967702,-0.5460868036832687,43.0,O1,H18_C52_O_Cc(-1),-1,52,18,1,0,0
2442,663.17492,0.017391692817361526,-0.7827060166647444,40.0,O1,H24_C52_O_Cc(-1),-1,52,24,1,0,0
2484,671.14422,0.0170408650285751,0.12080413954003856,43.0,O1,H20_C53_O_Cc(-1),-1,53,20,1,0,0
2515,675.17503,0.016749563727231697,-0.6058740057900397,41.0,O1,H24_C53_O_Cc(-1),-1,53,24,1,0,0
2776,723.55155,0.016951208462680428,0.7036858672184908,17.0,O1,H72_C53_O_Cc(-1),-1,53,72,1,0,0
2918,757.15957,0.02052149652489584,-0.28923493636518194,49.0,O1,H22_C60_O_Cc(-1),-1,60,22,1,0,0
3033,785.75427,0.016461173367364433,-0.2822879983778686,7.0,O1,H98_C56_O_Cc(-1),-1,56,98,1,0,0
3065,797.8485,0.015588758380768283,0.13504694174619888,1.0,O1,H110_C56_O_Cc(-1),-1,56,110,1,0,0
3119,815.89527,0.016365498554044306,-0.08882880277574927,-1.0,O1,H116_C57_O_Cc(-1),-1,57,116,1,0,0
141,282.97322,0.008077938121070483,0.1763735806530234,8.0,O10,H4_C10_O10_Cc(-1),-1,10,4,10,0,0
186,295.06684,0.007899088927322188,-0.7812975526406123,2.0,O10,H16_C10_O10_Cc(-1),-1,10,16,10,0,0
312,329.05118999999996,0.011446171456079964,-0.7003803877988035,6.0,O10,H14_C13_O10_Cc(-1),-1,13,14,10,0,0
321,331.06697,0.012272835678275074,-0.30366967729990413,5.0,O10,H16_C13_O10_Cc(-1),-1,13,16,10,0,0
334,335.00458,0.008372888349052981,0.32764029666717004,10.0,O10,H8_C14_O10_Cc(-1),-1,14,8,10,0,0
343,337.02026,0.009729171291796268,0.4144765658918446,9.0,O10,H10_C14_O10_Cc(-1),-1,14,10,10,0,0
352,339.03565,0.025639963092887273,-0.3550865520522468,8.0,O10,H12_C14_O10_Cc(-1),-1,14,12,10,0,0
363,341.05147,0.03021712401739892,0.1452537353795152,7.0,O10,H14_C14_O10_Cc(-1),-1,14,14,10,0,0
373,343.06712999999996,0.03847239436271605,0.17333342308994246,6.0,O10,H16_C14_O10_Cc(-1),-1,14,16,10,0,0
383,345.08268,0.021936227029405307,-0.11767904448993874,5.0,O10,H18_C14_O10_Cc(-1),-1,14,18,10,0,0
393,347.0984,0.00850809068347009,0.08446308033061685,4.0,O10,H20_C14_O10_Cc(-1),-1,14,20,10,0,0
397,349.02016000000003,0.009841839184526741,0.1137097640029695,10.0,O10,H10_C15_O10_Cc(-1),-1,15,10,10,0,0
406,351.03578999999996,0.03907058528358195,0.05587179588241466,9.0,O10,H12_C15_O10_Cc(-1),-1,15,12,10,0,0
415,353.05143,0.0868682184274934,0.027018726312702124,8.0,O10,H14_C15_O10_Cc(-1),-1,15,14,10,0,0
425,355.06711,0.1084862184863639,0.1111480025368653,7.0,O10,H16_C15_O10_Cc(-1),-1,15,16,10,0,0
437,357.08274,0.11522026620501537,0.05430394078027274,6.0,O10,H18_C15_O10_Cc(-1),-1,15,18,10,0,0
447,359.09841,0.06594013091912895,0.10948809273920485,5.0,O10,H20_C15_O10_Cc(-1),-1,15,20,10,0,0
459,363.03578999999996,0.04032907440297578,0.054024976452878584,10.0,O10,H12_C16_O10_Cc(-1),-1,16,12,10,0,0
469,365.05141000000003,0.11687964526460136,-0.028656237728342814,9.0,O10,H14_C16_O10_Cc(-1),-1,16,14,10,0,0
479,367.06708,0.2167907221523818,0.02578547769822703,8.0,O10,H16_C16_O10_Cc(-1),-1,16,16,10,0,0
489,369.08272,0.2830182465040526,-0.001650036717326525,7.0,O10,H18_C16_O10_Cc(-1),-1,16,18,10,0,0
497,371.00462999999996,0.009411775094032635,0.43061726740043565,13.0,O10,H8_C17_O10_Cc(-1),-1,17,8,10,0,0
501,371.09837999999996,0.2560522017559684,0.02510654985515401,6.0,O10,H20_C16_O10_Cc(-1),-1,16,20,10,0,0
508,373.02031,0.010491775380854237,0.5085165469628868,12.0,O10,H10_C17_O10_Cc(-1),-1,17,10,10,0,0
513,373.11404,0.11413205745164431,0.05157404421716352,5.0,O10,H22_C16_O10_Cc(-1),-1,16,22,10,0,0
517,375.03578,0.039389131616117096,0.025632221095143896,11.0,O10,H12_C17_O10_Cc(-1),-1,17,12,10,0,0
524,375.12968,0.02174782286986285,0.024442214247147483,4.0,O10,H24_C16_O10_Cc(-1),-1,16,24,10,0,0
529,377.05143,0.14069327849651864,0.02529893590770392,10.0,O10,H14_C17_O10_Cc(-1),-1,17,14,10,0,0
539,379.06707,0.32223848956827006,-0.001411359656377198,9.0,O10,H16_C17_O10_Cc(-1),-1,17,16,10,0,0
550,381.08275,0.4545089448775599,0.07712498123142535,8.0,O10,H18_C17_O10_Cc(-1),-1,17,18,10,0,0
561,383.09837999999996,0.4786663583557424,0.024320123668068988,7.0,O10,H20_C17_O10_Cc(-1),-1,17,20,10,0,0
569,385.0204,0.010564352553284412,0.7264212493373626,13.0,O10,H10_C18_O10_Cc(-1),-1,18,10,10,0,0
576,385.11407,0.40457456200834124,0.12786601132217432,6.0,O10,H22_C17_O10_Cc(-1),-1,17,22,10,0,0
581,387.03578999999996,0.04643769480097502,0.05067490013340155,12.0,O10,H12_C18_O10_Cc(-1),-1,18,12,10,0,0
588,387.1297,0.1500614757824634,0.07534684116298013,5.0,O10,H24_C17_O10_Cc(-1),-1,17,24,10,0,0
593,389.05149,0.13434827627197887,0.17873983718844755,11.0,O10,H14_C18_O10_Cc(-1),-1,18,14,10,0,0
600,389.14537,0.02457168425461894,0.12616107962043133,4.0,O10,H26_C17_O10_Cc(-1),-1,17,26,10,0,0
605,391.06711,0.35313161878420046,0.10091618301277608,10.0,O10,H16_C18_O10_Cc(-1),-1,18,16,10,0,0
615,393.08275,0.6146584383162362,0.0747705157282276,9.0,O10,H18_C18_O10_Cc(-1),-1,18,18,10,0,0
627,395.09835,0.7342028357960291,-0.052348991086558105,8.0,O10,H20_C18_O10_Cc(-1),-1,18,20,10,0,0
639,397.11402000000004,0.6324652477877648,-0.0019062534042498342,7.0,O10,H22_C18_O10_Cc(-1),-1,18,22,10,0,0
646,399.03577,0.04134728893198703,-9.698377245796325E-4,13.0,O10,H12_C19_O10_Cc(-1),-1,19,12,10,0,0
653,399.12966,0.44743324455407785,-0.027136545044846826,6.0,O10,H24_C18_O10_Cc(-1),-1,18,24,10,0,0
658,401.05144,0.12848781741105997,0.04871943607302335,12.0,O10,H14_C19_O10_Cc(-1),-1,19,14,10,0,0
665,401.14531,0.1569927446412885,-0.02718466286082869,5.0,O10,H26_C18_O10_Cc(-1),-1,18,26,10,0,0
671,403.06711,0.325874048318232,0.09791173495410586,11.0,O10,H16_C19_O10_Cc(-1),-1,19,16,10,0,0
680,403.16109,0.024095284622006944,0.2952194617517807,4.0,O10,H28_C18_O10_Cc(-1),-1,18,28,10,0,0
685,405.08279,0.6039476194444685,0.17130078509152782,10.0,O10,H18_C19_O10_Cc(-1),-1,19,18,10,0,0
695,407.09841,0.8394194563327608,0.09657861355091268,9.0,O10,H20_C19_O10_Cc(-1),-1,19,20,10,0,0
706,409.11402000000004,0.6957525680410938,-0.0018503397964712545,8.0,O10,H22_C19_O10_Cc(-1),-1,19,22,10,0,0
712,411.03574,0.029264514643094052,-0.07392787785594217,14.0,O10,H12_C20_O10_Cc(-1),-1,20,12,10,0,0
719,411.12967000000003,0.5897026824148759,-0.0020212600217555487,7.0,O10,H24_C19_O10_Cc(-1),-1,19,24,10,0,0
725,413.05142,0.1034970115301615,-0.0011160838359406083,13.0,O10,H14_C20_O10_Cc(-1),-1,20,14,10,0,0
732,413.14531,0.3585342398498519,-0.026395071531981357,6.0,O10,H26_C19_O10_Cc(-1),-1,19,26,10,0,0
739,415.06712000000005,0.25669106170129735,0.1191734967458595,12.0,O10,H16_C20_O10_Cc(-1),-1,20,16,10,0,0
747,415.16098,0.1198530932208983,0.021728920628734053,5.0,O10,H28_C19_O10_Cc(-1),-1,19,28,10,0,0
752,417.08277999999996,0.5194567856938408,0.1423961927233502,11.0,O10,H18_C20_O10_Cc(-1),-1,20,18,10,0,0
759,417.17659,0.01922588157296169,-0.07443610387273623,4.0,O10,H30_C19_O10_Cc(-1),-1,19,30,10,0,0
765,419.09837000000005,0.8757698714626858,-0.0016296888467309523,10.0,O10,H20_C20_O10_Cc(-1),-1,20,20,10,0,0
777,421.11399000000006,0.9537744414077554,-0.07303723153544353,9.0,O10,H22_C20_O10_Cc(-1),-1,20,22,10,0,0
782,423.03584000000006,0.023692141885001537,0.16455579770129636,15.0,O10,H12_C21_O10_Cc(-1),-1,21,12,10,0,0
789,423.12965999999994,0.6324175808513617,-0.025597354849026227,8.0,O10,H24_C20_O10_Cc(-1),-1,20,24,10,0,0
794,425.05145999999996,0.08301645376114797,0.09302167775774446,14.0,O10,H14_C21_O10_Cc(-1),-1,21,14,10,0,0
800,425.14537,0.4040070190502519,0.11547814825158656,7.0,O10,H26_C20_O10_Cc(-1),-1,20,26,10,0,0
806,427.06710999999996,0.22127352023719637,0.09240936391986267,13.0,O10,H16_C21_O10_Cc(-1),-1,21,16,10,0,0
812,427.16099,0.24501450292973745,0.044528878945999474,6.0,O10,H28_C20_O10_Cc(-1),-1,20,28,10,0,0
818,429.08272,0.45434179771170263,-0.0014193068407200014,12.0,O10,H18_C21_O10_Cc(-1),-1,21,18,10,0,0
825,429.17663,0.08497018532389147,0.02084689472999182,5.0,O10,H30_C20_O10_Cc(-1),-1,20,30,10,0,0
832,431.09834000000006,0.7631388283597798,-0.07117401547028183,11.0,O10,H20_C21_O10_Cc(-1),-1,21,20,10,0,0
841,431.19225,0.011320549981673261,-0.04899670628354216,4.0,O10,H32_C20_O10_Cc(-1),-1,20,32,10,0,0
848,433.11405999999994,0.8382443185376062,0.09060661731846331,10.0,O10,H22_C21_O10_Cc(-1),-1,21,22,10,0,0
854,435.03569000000005,0.014879785529255047,-0.18478254028250496,16.0,O10,H12_C22_O10_Cc(-1),-1,22,12,10,0,0
860,435.12973,0.6694055288480332,0.13598013630664318,9.0,O10,H24_C21_O10_Cc(-1),-1,21,24,10,0,0
867,437.05137,0.05887233912085826,-0.11545782364375905,15.0,O10,H14_C22_O10_Cc(-1),-1,22,14,10,0,0
874,437.14530999999994,0.47666721481126034,-0.024945938481079927,8.0,O10,H26_C21_O10_Cc(-1),-1,21,26,10,0,0
880,439.06707,0.16444858716419689,-0.0012184925862445371,14.0,O10,H16_C22_O10_Cc(-1),-1,22,16,10,0,0
887,439.16094000000004,0.32416195079222393,-0.07054133724480524,7.0,O10,H28_C21_O10_Cc(-1),-1,21,28,10,0,0
894,441.08279000000005,0.3507605717167605,0.157319672370146,13.0,O10,H18_C22_O10_Cc(-1),-1,22,18,10,0,0
899,441.17669000000006,0.17789662753101856,0.15627978917487884,6.0,O10,H30_C21_O10_Cc(-1),-1,21,30,10,0,0
907,443.0984,0.5428882310832485,0.06616363327384747,12.0,O10,H20_C22_O10_Cc(-1),-1,22,20,10,0,0
912,443.19226,0.047500840110872904,-0.02510648550188412,5.0,O10,H32_C21_O10_Cc(-1),-1,21,32,10,0,0
